Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
59,2024-05-06_15:31:11__clean_paper,173,7,0.707,0.7697300314903259,0.390381319400117,4.391238418247969,"[0.56220424, 0.30841553, 0.22045177]","[0.57086235, 0.29902843, 0.19955316]","[-0.00270934706, 0.000454344845, -0.0158446822, 0.999870718]","[-0.7023077, -0.00304841, -0.00266242, 0.71186197]","[0.56191939, 0.42024022, 0.28047118]","[0.39605713, 0.77362353, 0.27772784]"
60,2024-05-07_18:04:00__clean_paper,215,7,0.716,0.7725129723548889,0.3330891904399507,4.3908953626230405,"[0.54670841, 0.3232426, 0.22050002]","[0.56949317, 0.30255869, 0.18797153]","[-0.00328712352, 0.00079473271, -0.039235156, 0.999224305]","[-0.69241917, -0.00645785, 0.0043744, 0.72145331]","[0.54678553, 0.43405473, 0.27963865]","[0.37729061, 0.72078878, 0.27777687]"
61,2024-05-15_14:20:51__clean_paper,355,7,0.71,0.7745819687843323,0.5159639707469088,4.397188634657352,"[0.54554474, 0.3087163, 0.22007689]","[0.56259829, 0.30123088, 0.19760643]","[-0.00351033476, 0.000878736842, -0.0031608385, 0.999988437]","[-0.69916028, -0.00289772, -0.00089324, 0.71495849]","[0.54524589, 0.42002675, 0.28010526]","[0.42947182, 0.92282546, 0.27716488]"
62,2024-05-06_14:23:00__clean_paper,99,7,0.708,0.7798550128936768,0.4398924133525203,4.383576132431572,"[0.55327427, 0.3191728, 0.22073862]","[0.56885052, 0.2999768, 0.20203777]","[-0.00352714956, 0.000919101236, -0.0437528454, 0.999035716]","[-0.7072258, -0.00070265698, -0.00169909489, 0.706985354]","[0.55356812, 0.42993966, 0.27990723]","[0.3418881, 0.81554031, 0.27690119]"
63,2024-05-15_14:20:51__clean_paper,347,7,0.718,0.7803754210472107,0.4748470630637224,4.383507985324307,"[0.5495711, 0.30962092, 0.22023323]","[0.5649482, 0.29401281, 0.20156248]","[-0.00181827229, 0.000337610691, -0.00569157489, 0.999982119]","[-0.70131946, -0.00248004, -0.00154514, 0.71284115]","[0.54675037, 0.4191204, 0.28041217]","[0.42874572, 0.8790617, 0.27747303]"
64,2024-05-06_15:31:11__clean_paper,181,7,0.72,0.7852959036827087,0.5006483170937794,4.391979589874702,"[0.55815947, 0.31458545, 0.22019693]","[0.57548153, 0.29921201, 0.20130305]","[-0.00392919686, 0.000705492974, -0.000857613748, 0.999991655]","[-0.700455129, -0.0025059639, 5.52380843e-05, 0.713692069]","[0.55829251, 0.42458984, 0.27992502]","[0.47334644, 0.91797036, 0.27699775]"
65,2024-05-15_14:20:51__clean_paper,339,7,0.73,0.7893516421318054,0.4431641142763824,4.3903369344606,"[0.5407986, 0.30572975, 0.22014952]","[0.55578798, 0.29187143, 0.21674564]","[-0.00356536126, 0.000568795367, -0.00424592569, 0.999984443]","[-0.70790952, -0.0042561, -0.00429473, 0.70627725]","[0.54057711, 0.4171474, 0.28005609]","[0.45485857, 0.85193634, 0.2777454]"
66,2024-05-15_14:20:51__clean_paper,341,7,0.729,0.7900089621543884,0.5304900154226316,4.389476302607809,"[0.54137027, 0.30493563, 0.22015467]","[0.55885243, 0.29536667, 0.20367786]","[-0.00226657442, 0.000707660976, 0.000969717861, 0.999996722]","[-0.702592373, -0.00257325778, 0.00068001874, 0.711587608]","[0.54101491, 0.41736221, 0.28039584]","[0.44587648, 0.93924242, 0.27733275]"
67,2024-05-15_14:20:51__clean_paper,327,7,0.735,0.7931750416755676,0.4758893906217485,4.377644113100773,"[0.54091686, 0.30861706, 0.22013083]","[0.56010735, 0.29235625, 0.1950226]","[-0.00327358046, 5.2147403e-05, -0.00660724984, 0.99997282]","[-0.69663537, -0.00518279, -0.00074653, 0.71740627]","[0.54050672, 0.41951862, 0.28021085]","[0.40967411, 0.87706274, 0.27758035]"
68,2024-05-15_14:20:51__clean_paper,323,7,0.741,0.7970263361930847,0.3550826986159728,4.40569676541805,"[0.53982395, 0.30832046, 0.22020215]","[0.55349988, 0.29400054, 0.22449692]","[-0.00302127493, -0.000108461434, -0.0134608159, 0.999904811]","[-0.70847476, -0.00530914, -0.00696537, 0.7056818]","[0.54126674, 0.42093238, 0.28024733]","[0.42282182, 0.75567126, 0.27814832]"
