Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
318,2024-05-06_11:23:17__clean_paper,133,7,0.75,0.6598003506660461,0.34399606375386543,4.499471666861551,"[0.5443896651268005, 0.31817567348480225, 0.21912097930908203]","[0.5467197895050049, 0.3040335774421692, 0.19769638776779175]",[-0.4979406   0.5037052   0.50207925 -0.49623853],"[-0.6820350885391235, 0.009776908904314041, -0.021040184423327446, 0.7309513688087463]"
319,2024-05-06_11:23:17__clean_paper,105,7,0.7,0.6512103080749512,0.34365198839114613,4.481274752266985,"[0.5504886507987976, 0.3229893445968628, 0.21896710991859436]","[0.5529683828353882, 0.3076443374156952, 0.19897277653217316]",[-0.49103975  0.50931227  0.50462711 -0.49480546],"[-0.6883770823478699, 0.006427241954952478, -0.017762864008545876, 0.7251070141792297]"
320,2024-05-06_11:23:17__clean_paper,296,14,1.17,0.701440691947937,0.40419651044681476,4.722822689806708,"[0.5332701206207275, -0.2877119183540344, 0.19801023602485657]","[0.5196877121925354, -0.2660008668899536, 0.18771390616893768]",[ 0.52536714 -0.47377306 -0.4670071   0.53050244],"[0.4811599552631378, -0.4598138630390167, 0.5510155558586121, 0.5034264326095581]"
321,2024-05-06_11:23:17__clean_paper,126,14,0.74,0.6710065603256226,0.335780553268322,4.836467481214319,"[0.5526341795921326, -0.29545068740844727, 0.198054701089859]","[0.4941350221633911, -0.28023412823677063, 0.22847610712051392]",[ 0.50665361 -0.49444035 -0.48986512  0.50878584],"[0.5189345479011536, -0.4896278977394104, 0.5139679312705994, 0.47624409198760986]"
322,2024-05-06_11:23:17__clean_paper,24,14,0.55,0.5161271095275879,0.26490034760420084,4.553763273043409,"[0.550550103187561, -0.28579413890838623, 0.19785520434379578]","[0.5047546029090881, -0.2717422842979431, 0.17581795156002045]",[ 0.49578589 -0.50584674 -0.49541312  0.502873  ],"[0.49704045057296753, -0.47476810216903687, 0.5301694273948669, 0.4964538514614105]"
323,2024-05-06_11:23:17__clean_paper,11,7,0.53,0.584096372127533,0.30159688919699074,4.44747660578427,"[0.5512074828147888, 0.3277956247329712, 0.21878209710121155]","[0.558013916015625, 0.313703328371048, 0.21875861287117004]",[-0.48935777  0.51056015  0.50408691 -0.49573553],"[-0.707393229007721, 0.004075647331774235, -0.005133746191859245, 0.7067898511886597]"
324,2024-05-06_11:23:17__clean_paper,119,7,0.73,0.6757978200912476,0.3361872970467986,4.5459527668121815,"[0.5568389296531677, 0.32679563760757446, 0.2193889319896698]","[0.540604829788208, 0.3128308951854706, 0.22706253826618195]",[-0.48877078  0.51183748  0.50678724 -0.49223185],"[-0.694316565990448, 0.009969213977456093, -0.017935991287231445, 0.7193771004676819]"
325,2024-05-06_11:23:17__clean_paper,144,14,0.76,0.6677564382553101,0.36477381233246703,4.7672076484041375,"[0.5445602536201477, -0.2920876145362854, 0.19802537560462952]","[0.4885365664958954, -0.27042677998542786, 0.2303488552570343]",[ 0.49750647 -0.50364673 -0.49832731  0.50049686],"[0.5213679075241089, -0.4959459602832794, 0.5078171491622925, 0.47363996505737305]"
326,2024-05-06_11:23:17__clean_paper,131,7,0.75,0.6665533185005188,0.3189743218280473,4.4773557120844085,"[0.5548646450042725, 0.31571751832962036, 0.2191002070903778]","[0.554177463054657, 0.3033207952976227, 0.20105333626270294]",[-0.48880115  0.51170939  0.50836492 -0.4907057 ],"[-0.6896522045135498, 0.010494316928088665, -0.021787239238619804, 0.7237368822097778]"
327,2024-05-06_11:23:17__clean_paper,153,7,0.78,0.6694592833518982,0.3483914982209647,4.535094835161954,"[0.545317530632019, 0.32379335165023804, 0.21871426701545715]","[0.5453988313674927, 0.3094387948513031, 0.2008943408727646]",[-0.48993444  0.51037395  0.50832009 -0.49101254],"[-0.680489182472229, 0.012472089380025864, -0.025569627061486244, 0.7322056293487549]"
