Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
878,2024-05-02_11-11-26,250,14,0.78,0.7696978449821472,0.23259592316213015,4.914382695924691,"[0.5082281827926636, -0.324487566947937, 0.19891513884067535]","[0.4639648199081421, -0.29149702191352844, 0.234244242310524]",[-1.97782344e-03  5.39900793e-04  8.45426414e-03  9.99962151e-01],"[0.5175262689590454, -0.502404510974884, 0.49582695960998535, 0.48364436626434326]"
879,2024-05-02_11-11-26,454,14,1.03,0.8486112356185913,0.30192245254133393,4.951065732910308,"[0.5422667264938354, -0.32863980531692505, 0.19845347106456757]","[0.48190391063690186, -0.3004666268825531, 0.22157441079616547]",[-0.00235138  0.00104491  0.01174633  0.9999277 ],"[0.5140730142593384, -0.4854590892791748, 0.5177068710327148, 0.4817032217979431]"
880,2024-05-02_11-11-26,142,14,0.65,0.6378186941146851,0.1538915689882953,4.881870270267124,"[0.5725906491279602, -0.3378955125808716, 0.19893743097782135]","[0.5187342166900635, -0.30590060353279114, 0.2519152760505676]",[-3.20660090e-03  5.53945778e-04  5.95543487e-03  9.99976993e-01],"[0.5276831388473511, -0.5029606819152832, 0.49546346068382263, 0.4723314344882965]"
881,2024-05-02_11-11-26,546,14,1.13,0.8922242522239685,0.5603488741951528,4.905794432695323,"[0.5105128288269043, -0.29864978790283203, 0.19879160821437836]","[0.47123610973358154, -0.27294498682022095, 0.20853063464164734]",[-1.66182616e-03  5.13237028e-04  3.01921461e-02  9.99542594e-01],"[0.49328768253326416, -0.471348375082016, 0.5361679792404175, 0.4970129430294037]"
882,2024-05-02_11-11-26,223,7,0.76,0.8185873627662659,0.38638733921075247,4.386702295145019,"[0.5614440441131592, 0.3096393942832947, 0.21986490488052368]","[0.5724691152572632, 0.2963595390319824, 0.2072625756263733]",[-2.92161456e-03  8.47579504e-04 -1.35529060e-02  9.99903500e-01],"[-0.705820620059967, 0.0010700507555156946, -0.0029104803688824177, 0.7083838582038879]"
883,2024-05-02_11-11-26,501,7,1.07,0.8775736689567566,0.6123745288791368,4.522000061049045,"[0.5429414510726929, 0.3087935447692871, 0.2198760211467743]","[0.5438398718833923, 0.30055293440818787, 0.19862684607505798]",[ 1.63531408e-03 -2.83137430e-04 -1.17011471e-02  9.99930143e-01],"[-0.6779561042785645, 0.011427599005401134, -0.02585316263139248, 0.7345587611198425]"
884,2024-05-02_11-11-26,199,7,0.73,0.7893972396850586,0.3935947768275971,4.371293578922856,"[0.576560914516449, 0.3013994097709656, 0.2198989987373352]","[0.5855089426040649, 0.29000353813171387, 0.19724741578102112]",[-0.00277111  0.00102843 -0.01129658  0.99993181],"[-0.7006346583366394, -0.00403376342728734, -0.004003225360065699, 0.7134975790977478]"
885,2024-05-02_11-11-26,175,7,0.7,0.7642212510108948,0.438614628328336,4.377240936133598,"[0.5600190758705139, 0.30549734830856323, 0.2198408544063568]","[0.5736998915672302, 0.29195472598075867, 0.20367558300495148]",[-2.96400394e-03  2.99636857e-04  1.14401802e-02  9.99930143e-01],"[-0.70223069190979, -0.0027087240014225245, -0.0014513909118250012, 0.7119427919387817]"
886,2024-05-02_11-11-26,152,14,0.66,0.6692716479301453,0.22763724482708073,4.526099939812845,"[0.5557177662849426, -0.3228127956390381, 0.19906149804592133]","[0.5371402502059937, -0.2938772737979889, 0.18258631229400635]",[-2.51003704e-03  3.69899237e-04 -4.69288183e-03  9.99985754e-01],"[0.4986817538738251, -0.4867393970489502, 0.5141697525978088, 0.5000307559967041]"
887,2024-05-02_11-11-26,68,14,0.57,0.5804764628410339,0.161595592420419,4.736454910635042,"[0.5622031092643738, -0.3208438754081726, 0.19897665083408356]","[0.5169214606285095, -0.28706440329551697, 0.2418576329946518]",[-1.14471186e-03  2.85928454e-05 -1.01104807e-02  9.99948204e-01],"[0.5230450630187988, -0.50045245885849, 0.4964238107204437, 0.4790976643562317]"
888,2024-05-02_11-11-26,236,14,0.77,0.7570131421089172,0.24850891282242624,4.787098141952453,"[0.48768630623817444, -0.3040456771850586, 0.19883231818675995]","[0.44357234239578247, -0.2746478319168091, 0.20760655403137207]",[-1.05099834e-03 -3.20471212e-04  1.05655966e-02  9.99943554e-01],"[0.5066090226173401, -0.49477681517601013, 0.5070117712020874, 0.49140849709510803]"
889,2024-05-02_11-11-26,46,14,0.55,0.5781120657920837,0.18226449598936614,4.681360663194918,"[0.5255421996116638, -0.315790593624115, 0.19890336692333221]","[0.48602044582366943, -0.28563767671585083, 0.21292933821678162]",[-2.44289543e-03  1.11190056e-04 -1.10169295e-02  9.99936342e-01],"[0.5105533003807068, -0.4989142119884491, 0.49671855568885803, 0.49365028738975525]"
890,2024-05-02_11-11-26,51,7,0.56,0.6369946599006653,0.2144076814389581,4.388608546232298,"[0.5653662085533142, 0.3152592182159424, 0.21984171867370605]","[0.5796881914138794, 0.3007982075214386, 0.20128801465034485]",[-2.70905113e-03  8.46426992e-04 -2.33626161e-02  9.99723017e-01],"[-0.7046701312065125, -0.004099742043763399, -0.003098058048635721, 0.7095164060592651]"
891,2024-05-02_11-11-26,549,7,1.13,0.9035581946372986,0.5623214936836379,4.5144747840014965,"[0.5530345439910889, 0.3085777163505554, 0.22001326084136963]","[0.5453836917877197, 0.2932010293006897, 0.2047824263572693]",[-2.12467927e-03  1.86035119e-04 -5.23334509e-03  9.99984026e-01],"[-0.6812756061553955, 0.01516337227076292, -0.02894824743270874, 0.7312972545623779]"
