Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
21,2024-05-07_18:04:00__clean_paper,203,7,0.735,0.7989097833633423,0.3939961122298352,4.398426161293299,"[0.55865711, 0.31406564, 0.22002572]","[0.56006408, 0.29780224, 0.20982535]","[-0.00434003817, 0.000803145347, -0.022783773, 0.999730647]","[-0.706876278, -0.000404269609, -0.00821274798, 0.707289457]","[0.55837142, 0.42510942, 0.27980933]","[0.40875778, 0.78958511, 0.27732766]"
22,2024-05-07_18:04:00__clean_paper,215,7,0.716,0.7725129723548889,0.3330891904399507,4.3908953626230405,"[0.54670841, 0.3232426, 0.22050002]","[0.56949317, 0.30255869, 0.18797153]","[-0.00328712352, 0.00079473271, -0.039235156, 0.999224305]","[-0.69241917, -0.00645785, 0.0043744, 0.72145331]","[0.54678553, 0.43405473, 0.27963865]","[0.37729061, 0.72078878, 0.27777687]"
23,2024-05-07_18:04:00__clean_paper,277,7,0.557,0.6295674443244934,0.2489037835741671,4.370210432678344,"[0.56057686, 0.3095296, 0.21980584]","[0.57453424, 0.29332855, 0.19512382]","[-0.00369014, 0.00106771, -0.01608974, 0.99986315]","[-0.703067482, -0.00268757576, 0.000279325264, 0.711117983]","[0.56091321, 0.41990763, 0.27980721]","[0.45246801, 0.64394122, 0.27851054]"
24,2024-05-07_18:04:00__clean_paper,245,7,0.657,0.7317400574684143,0.3606213524663413,4.390516742015254,"[0.57357025, 0.31664675, 0.22056451]","[0.5892629, 0.30066887, 0.19573529]","[-0.00355374557, 0.000880516367, -0.0119500682, 0.999921918]","[-0.69898599, -0.005074, -0.00120427, 0.71511632]","[0.57364082, 0.42747495, 0.27999881]","[0.43429476, 0.76007897, 0.27776277]"
25,2024-05-07_18:04:00__clean_paper,279,7,0.556,0.6277315616607666,0.2442726729337913,4.369742611226841,"[0.55403048, 0.30658537, 0.21993792]","[0.57234579, 0.29281896, 0.19642864]","[-0.00362975, 0.00129098, -0.01710778, 0.99984622]","[-0.702899218, -0.00463223038, 0.000670758076, 0.711274028]","[0.55714995, 0.41993546, 0.279789]","[0.44536924, 0.63712758, 0.27844772]"
26,2024-05-07_18:04:00__clean_paper,221,7,0.701,0.775252640247345,0.4765505916019522,4.396411717857353,"[0.55522978, 0.31693476, 0.22015309]","[0.57131028, 0.30240053, 0.19982761]","[-0.00355575955, 0.000816289394, 0.00152414769, 0.999992192]","[-0.70104069, -0.0034776, 0.00095811, 0.71311218]","[0.55491787, 0.42757443, 0.27979368]","[0.48208171, 0.89851779, 0.27701694]"
27,2024-05-07_18:04:00__clean_paper,253,7,0.626,0.7063276171684265,0.3370315672055284,4.400684842351371,"[0.55717123, 0.31201303, 0.21953446]","[0.55477744, 0.29852024, 0.21238282]","[-0.00414791, 0.00100972, -0.00362451, 0.99998432]","[-0.70726991, 0.00081992, -0.00766244, 0.70690161]","[0.55999887, 0.42305583, 0.2797116]","[0.56124353, 0.76008087, 0.27802452]"
28,2024-05-07_18:04:00__clean_paper,249,7,0.653,0.7152285575866699,0.3362763166731475,4.388273935984128,"[0.55507112, 0.31985688, 0.21983325]","[0.58264154, 0.30229524, 0.19114973]","[-0.00251158979, 0.000948271132, -0.0102544893, 0.999943793]","[-0.69848889, -0.00319861, 0.00238174, 0.71560979]","[0.56456101, 0.42823234, 0.27996609]","[0.41964579, 0.73167366, 0.27779651]"
29,2024-05-07_18:04:00__clean_paper,229,7,0.692,0.7677488923072815,0.3509317973209714,4.373413600614621,"[0.55391771, 0.313941, 0.21992925]","[0.57221311, 0.29745713, 0.1973787]","[-0.00379195437, 0.000882753055, -0.00850845501, 0.99995625]","[-0.70515233, -0.00360935, 0.00162172, 0.70904481]","[0.55387145, 0.42487913, 0.27977639]","[0.4243556, 0.75103092, 0.27783209]"
30,2024-05-07_18:04:00__clean_paper,231,7,0.691,0.7612439393997192,0.3701070928441205,4.452927821403186,"[0.55428559, 0.3274731, 0.21981755]","[0.55679262, 0.31505153, 0.2206696]","[-0.00362813054, 0.00085532933, -0.0136061199, 0.99990046]","[-0.70766163, 0.00435325, -0.00605616, 0.70651215]","[0.54969573, 0.44209906, 0.27965528]","[0.47394991, 0.80436742, 0.27779323]"
31,2024-05-07_18:04:00__clean_paper,235,7,0.677,0.748566210269928,0.3870169874474009,4.39180541073565,"[0.56097293, 0.31383574, 0.22013944]","[0.57033527, 0.30628482, 0.20471203]","[-0.00403222488, 0.000863892026, -0.01329506, 0.999903142]","[-0.703529477, 0.000112952715, -0.00520962151, 0.710646987]","[0.56048542, 0.42542595, 0.27986577]","[0.45274925, 0.79713762, 0.27752066]"
32,2024-05-07_18:04:00__clean_paper,289,7,0.532,0.6072642803192139,0.2941476610592342,4.396516270202632,"[0.55882531, 0.31635499, 0.21995959]","[0.57065392, 0.30343065, 0.20285714]","[-0.00389556284, 0.000814129715, -0.00307022245, 0.999987364]","[-0.706136465, 0.00285562198, 0.000652625051, 0.708069682]","[0.5584327, 0.42785323, 0.2799381]","[0.51512307, 0.71878982, 0.27819926]"
33,2024-05-07_18:04:00__clean_paper,291,7,0.527,0.602915346622467,0.2510759448045743,4.406432120919114,"[0.54800653, 0.32469106, 0.21975327]","[0.56884706, 0.30924845, 0.19937728]","[-0.00381836132, 0.000877637882, -0.0125758527, 0.999913216]","[-0.704251766, 0.000135413167, 0.00279312884, 0.709944844]","[0.54799467, 0.43527576, 0.27976555]","[0.43594149, 0.65995425, 0.27809483]"
34,2024-05-07_18:04:00__clean_paper,225,7,0.694,0.7670897245407104,0.4483351623640533,4.40104847852372,"[0.5553574, 0.31611943, 0.21955612]","[0.57045329, 0.30443111, 0.19859268]","[-0.00267670443, 0.000784788863, -0.00160119764, 0.999994814]","[-0.700627089, -0.00181080448, 0.00054229208, 0.713525116]","[0.55409229, 0.42693776, 0.27993834]","[0.46006691, 0.86529368, 0.27715769]"
35,2024-05-07_18:04:00__clean_paper,267,7,0.58,0.6548305153846741,0.2895628038388134,4.384930924244217,"[0.55772972, 0.31397879, 0.21999511]","[0.57268876, 0.29916102, 0.19871791]","[-0.00262129214, 0.000901454827, -0.00240599294, 0.999993265]","[-0.70319837, -0.00467396, -0.00072102, 0.71097797]","[0.5573827, 0.42561519, 0.2800709]","[0.48109767, 0.70494199, 0.27813399]"
36,2024-05-07_18:04:00__clean_paper,213,7,0.718,0.7870111465454102,0.4925449582542607,4.402735266086575,"[0.54912508, 0.31627172, 0.21988353]","[0.56357718, 0.30272913, 0.20107676]","[-0.00422693929, 0.000671232003, -0.000616299105, 0.999990642]","[-0.70161521, -0.00171589, -0.00184611, 0.71255153]","[0.55017769, 0.42720214, 0.27976695]","[0.49875301, 0.91704816, 0.27713755]"
37,2024-05-07_18:04:00__clean_paper,255,7,0.622,0.6945337057113647,0.3183897024575147,4.415199174183905,"[0.55157244, 0.31549436, 0.21951634]","[0.55367446, 0.30383259, 0.22202656]","[-0.00505735632, 0.000993945519, 0.00138318783, 0.999985754]","[-0.70740217, -0.0002182928, -0.00389531138, 0.706800461]","[0.55229789, 0.42516047, 0.27991691]","[0.56318927, 0.74335974, 0.27830425]"
38,2024-05-07_18:04:00__clean_paper,269,7,0.575,0.6526471972465515,0.3115818636961409,4.394139005908583,"[0.56394774, 0.31820631, 0.21991771]","[0.57937306, 0.30337024, 0.20126291]","[-0.00299310545, 0.000880681328, -0.000833081489, 0.999994814]","[-0.70389378, -0.00108779, -0.0013594, 0.71030313]","[0.56374413, 0.42950937, 0.27996868]","[0.52678788, 0.73888564, 0.27801493]"
39,2024-05-07_18:04:00__clean_paper,275,7,0.559,0.6367791295051575,0.301445158699864,4.392264744622886,"[0.56280303, 0.31354272, 0.21973357]","[0.57763028, 0.30448595, 0.19587588]","[-0.00331875798, 0.000856258033, -0.00170081772, 0.999992669]","[-0.70419246, -0.00307717547, -0.00039829014, 0.710002363]","[0.56255293, 0.4248693, 0.28006473]","[0.50303811, 0.72037494, 0.27817136]"
40,2024-05-07_18:04:00__clean_paper,295,7,0.526,0.6063492894172668,0.2515224082100927,4.433117713653665,"[0.55257243, 0.32153624, 0.21961984]","[0.55744743, 0.31170183, 0.21768935]","[-0.00396234216, 0.000932295341, -0.00804233085, 0.99995935]","[-0.71077341, 0.0040832, -0.00447951, 0.70339489]","[0.55262649, 0.43568939, 0.27957293]","[0.51932949, 0.68499357, 0.27806973]"
41,2024-05-07_18:04:00__clean_paper,211,7,0.724,0.7903120517730713,0.3739474909812937,4.422982710728607,"[0.53886127, 0.32234907, 0.21985722]","[0.55254227, 0.30373892, 0.21757749]","[-0.00399621483, 0.000602606218, -0.0272738636, 0.999619842]","[-0.70688957, -0.000431663066, -0.00246375543, 0.707319498]","[0.53859985, 0.43326452, 0.27970725]","[0.36738896, 0.76570737, 0.27740282]"
42,2024-05-07_18:04:00__clean_paper,293,7,0.526,0.6028726100921631,0.2402447598133444,4.400565086449519,"[0.55075359, 0.31969535, 0.21973732]","[0.57113814, 0.30708382, 0.19920929]","[-0.00362682, 0.00132382, -0.01021418, 0.9999404]","[-0.70485264, -0.00337384, 0.00108443, 0.70934492]","[0.55019391, 0.43063697, 0.27970788]","[0.44030815, 0.64427155, 0.27799553]"
43,2024-05-07_18:04:00__clean_paper,283,7,0.543,0.6220573782920837,0.2587936112686236,4.361067401499359,"[0.56269032, 0.30041951, 0.21996683]","[0.56852412, 0.2869671, 0.20820084]","[-0.00435744, 0.00119093, -0.00418588, 0.99998105]","[-0.70943785, -0.00141797, -0.00386782, 0.70475596]","[0.56214327, 0.41118106, 0.27982941]","[0.53022516, 0.66799515, 0.27845481]"
44,2024-05-07_18:04:00__clean_paper,239,7,0.671,0.7406506538391113,0.4557898878246884,4.388753483317321,"[0.55149931, 0.3113755, 0.21988723]","[0.56904817, 0.29825279, 0.19860025]","[-0.00248703128, 0.000958552409, 0.00323341577, 0.999991238]","[-0.6998238, -0.00296288, 0.00117036, 0.71430844]","[0.55121416, 0.42294931, 0.2798765]","[0.49028334, 0.874641, 0.2773315]"
45,2024-05-07_18:04:00__clean_paper,299,7,0.501,0.5767159461975098,0.2035093692010652,4.390537423700772,"[0.54515624, 0.31085461, 0.21976018]","[0.55516797, 0.29802951, 0.22527426]","[-0.00376949646, 0.000789356593, -0.019963121, 0.999793291]","[-0.71062911, 0.0011698, -0.00247227, 0.70356154]","[0.54477811, 0.42150787, 0.27961841]","[0.45940015, 0.60623908, 0.27859607]"
46,2024-05-07_18:04:00__clean_paper,209,7,0.725,0.7842913269996643,0.4140520585120894,4.398129541034208,"[0.54595101, 0.3107233, 0.22002769]","[0.55961871, 0.29622144, 0.21049027]","[-0.00410353858, 0.000626020192, -0.00911301468, 0.999949872]","[-0.70415622, -0.0034173, -0.00322886, 0.71002948]","[0.54576105, 0.42177621, 0.27981755]","[0.43153298, 0.81975311, 0.27748555]"
47,2024-05-07_18:04:00__clean_paper,223,7,0.698,0.7728005647659302,0.4417043566292674,4.394231077738282,"[0.55838603, 0.31405354, 0.21981883]","[0.56774569, 0.30123216, 0.19507313]","[-0.00412947, 0.00111998, -0.01182183, 0.99992096]","[-0.69933951, -0.00392314, -0.00644343, 0.71474987]","[0.55807614, 0.42507827, 0.27975386]","[0.42741361, 0.84700614, 0.27712426]"
48,2024-05-07_18:04:00__clean_paper,257,7,0.599,0.6753265261650085,0.270184625737878,4.436727336243248,"[0.55118245, 0.3198325, 0.21989051]","[0.55011958, 0.30634671, 0.22681272]","[-0.00466878, 0.00112782, 0.00117527, 0.99998778]","[-0.70901078, -0.000188375067, -0.00482704397, 0.705181122]","[0.55078965, 0.43097472, 0.27974379]","[0.56508338, 0.70077723, 0.27832025]"
49,2024-05-07_18:04:00__clean_paper,281,7,0.551,0.6273545622825623,0.2327759336793049,4.385404009651058,"[0.56464958, 0.31723046, 0.21971911]","[0.58263248, 0.30092546, 0.19757383]","[-0.00343189, 0.00131895, -0.02789996, 0.99960399]","[-0.7035895, -0.00072916, 0.00117405, 0.71060532]","[0.56454939, 0.42801359, 0.27971998]","[0.45540562, 0.63361156, 0.27839705]"
50,2024-05-08_14:15:56__clean_paper,217,7,0.54,0.614391028881073,0.2488121627203795,4.382105713511088,"[0.55696851, 0.3088069, 0.22034058]","[0.57441312, 0.29878169, 0.19843078]","[-0.00290217134, 0.000888546405, -0.00169465854, 0.99999398]","[-0.704197943, -0.00363682164, 0.000451119762, 0.709994256]","[0.55649185, 0.42046061, 0.28046802]","[0.49206108, 0.66078103, 0.27896261]"
